drop_conv2:52.0/64; drop_conv3:42.0/64; drop_conv4:44.0/64; drop_conv5:53.0/64; drop:773.0/1024; 
drop_conv2:55.0/64; drop_conv3:50.0/64; drop_conv4:58.0/64; drop_conv5:59.0/64; drop:935.0/1024; 
drop_conv2:57.0/64; drop_conv3:56.0/64; drop_conv4:64.0/64; drop_conv5:63.0/64; drop:978.0/1024; 
drop_conv2:63.0/64; drop_conv3:62.0/64; drop_conv4:64.0/64; drop_conv5:64.0/64; drop:1004.0/1024; 
drop_conv2:64.0/64; drop_conv3:63.0/64; drop_conv4:64.0/64; drop_conv5:64.0/64; drop:1009.0/1024; 
drop_conv2:64.0/64; drop_conv3:64.0/64; drop_conv4:64.0/64; drop_conv5:64.0/64; drop:1021.0/1024; 
drop_conv2:64.0/64; drop_conv3:64.0/64; drop_conv4:64.0/64; drop_conv5:64.0/64; drop:1021.0/1024; 
drop_conv2:64.0/64; drop_conv3:64.0/64; drop_conv4:64.0/64; drop_conv5:64.0/64; drop:1023.0/1024; 
drop_conv2:64.0/64; drop_conv3:64.0/64; drop_conv4:64.0/64; drop_conv5:64.0/64; drop:1023.0/1024; 
drop_conv2:64.0/64; drop_conv3:64.0/64; drop_conv4:64.0/64; drop_conv5:64.0/64; drop:1023.0/1024; 
drop_conv2:64.0/64; drop_conv3:64.0/64; drop_conv4:64.0/64; drop_conv5:64.0/64; drop:1023.0/1024; 
drop_conv2:64.0/64; drop_conv3:64.0/64; drop_conv4:64.0/64; drop_conv5:64.0/64; drop:1023.0/1024; 
drop_conv2:64.0/64; drop_conv3:64.0/64; drop_conv4:64.0/64; drop_conv5:64.0/64; drop:1023.0/1024; 
drop_conv2:64.0/64; drop_conv3:64.0/64; drop_conv4:64.0/64; drop_conv5:64.0/64; drop:1023.0/1024; 
drop_conv2:64.0/64; drop_conv3:64.0/64; drop_conv4:64.0/64; drop_conv5:64.0/64; drop:1023.0/1024; 
drop_conv2:64.0/64; drop_conv3:64.0/64; drop_conv4:64.0/64; drop_conv5:64.0/64; drop:1023.0/1024; 
drop_conv2:64.0/64; drop_conv3:64.0/64; drop_conv4:64.0/64; drop_conv5:64.0/64; drop:1023.0/1024; 
drop_conv2:64.0/64; drop_conv3:64.0/64; drop_conv4:64.0/64; drop_conv5:64.0/64; drop:1023.0/1024; 
drop_conv2:64.0/64; drop_conv3:64.0/64; drop_conv4:64.0/64; drop_conv5:64.0/64; drop:1023.0/1024; 
drop_conv2:64.0/64; drop_conv3:64.0/64; drop_conv4:64.0/64; drop_conv5:64.0/64; drop:1023.0/1024; 
drop_conv2:64.0/64; drop_conv3:64.0/64; drop_conv4:64.0/64; drop_conv5:64.0/64; drop:1023.0/1024; 
drop_conv2:64.0/64; drop_conv3:64.0/64; drop_conv4:64.0/64; drop_conv5:64.0/64; drop:1024.0/1024;  
drop_conv2:64.0/64; drop_conv3:64.0/64; drop_conv4:64.0/64; drop_conv5:64.0/64; drop:1024.0/1024; 
drop_conv2:64.0/64; drop_conv3:64.0/64; drop_conv4:64.0/64; drop_conv5:64.0/64; drop:1024.0/1024; 
drop_conv2:64.0/64; drop_conv3:64.0/64; drop_conv4:64.0/64; drop_conv5:64.0/64; drop:1024.0/1024; 
drop_conv2:64.0/64; drop_conv3:64.0/64; drop_conv4:64.0/64; drop_conv5:64.0/64; drop:1024.0/1024; 
drop_conv2:64.0/64; drop_conv3:64.0/64; drop_conv4:64.0/64; drop_conv5:64.0/64; drop:1024.0/1024; 
drop_conv2:64.0/64; drop_conv3:64.0/64; drop_conv4:64.0/64; drop_conv5:64.0/64; drop:1024.0/1024; 
drop_conv2:64.0/64; drop_conv3:64.0/64; drop_conv4:64.0/64; drop_conv5:64.0/64; drop:1024.0/1024; 
drop_conv2:64.0/64; drop_conv3:64.0/64; drop_conv4:64.0/64; drop_conv5:64.0/64; drop:1024.0/1024; 
drop_conv2:64.0/64; drop_conv3:64.0/64; drop_conv4:64.0/64; drop_conv5:64.0/64; drop:1024.0/1024; 
drop_conv2:64.0/64; drop_conv3:64.0/64; drop_conv4:64.0/64; drop_conv5:64.0/64; drop:1024.0/1024; 
drop_conv2:64.0/64; drop_conv3:64.0/64; drop_conv4:64.0/64; drop_conv5:64.0/64; drop:1024.0/1024; 
drop_conv2:64.0/64; drop_conv3:64.0/64; drop_conv4:64.0/64; drop_conv5:64.0/64; drop:1024.0/1024; 
drop_conv2:64.0/64; drop_conv3:64.0/64; drop_conv4:64.0/64; drop_conv5:64.0/64; drop:1024.0/1024; 
drop_conv2:64.0/64; drop_conv3:64.0/64; drop_conv4:64.0/64; drop_conv5:64.0/64; drop:1024.0/1024; 
drop_conv2:64.0/64; drop_conv3:64.0/64; drop_conv4:64.0/64; drop_conv5:64.0/64; drop:1024.0/1024; 
drop_conv2:64.0/64; drop_conv3:64.0/64; drop_conv4:64.0/64; drop_conv5:64.0/64; drop:1024.0/1024; 
drop_conv2:64.0/64; drop_conv3:64.0/64; drop_conv4:64.0/64; drop_conv5:64.0/64; drop:1024.0/1024; 
drop_conv2:64.0/64; drop_conv3:64.0/64; drop_conv4:64.0/64; drop_conv5:64.0/64; drop:1024.0/1024; 
drop_conv2:64.0/64; drop_conv3:64.0/64; drop_conv4:64.0/64; drop_conv5:64.0/64; drop:1024.0/1024; 
drop_conv2:64.0/64; drop_conv3:64.0/64; drop_conv4:64.0/64; drop_conv5:64.0/64; drop:1024.0/1024; 
drop_conv2:64.0/64; drop_conv3:64.0/64; drop_conv4:64.0/64; drop_conv5:64.0/64; drop:1024.0/1024; 
drop_conv2:64.0/64; drop_conv3:64.0/64; drop_conv4:64.0/64; drop_conv5:64.0/64; drop:1024.0/1024; 
drop_conv2:64.0/64; drop_conv3:64.0/64; drop_conv4:64.0/64; drop_conv5:64.0/64; drop:1024.0/1024; 
drop_conv2:64.0/64; drop_conv3:64.0/64; drop_conv4:64.0/64; drop_conv5:64.0/64; drop:1024.0/1024; 
drop_conv2:64.0/64; drop_conv3:64.0/64; drop_conv4:64.0/64; drop_conv5:64.0/64; drop:1024.0/1024; 
drop_conv2:64.0/64; drop_conv3:64.0/64; drop_conv4:64.0/64; drop_conv5:64.0/64; drop:1024.0/1024; 
drop_conv2:64.0/64; drop_conv3:64.0/64; drop_conv4:64.0/64; drop_conv5:64.0/64; drop:1024.0/1024; 
drop_conv2:64.0/64; drop_conv3:64.0/64; drop_conv4:64.0/64; drop_conv5:64.0/64; drop:1024.0/1024; 
